geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type,sigdiff
AL,uninsured,wk2_3,asian,0.109128578,0.103241197,0.202352746,-0.093224168,0.311481325,state,0
AL,uninsured,wk2_3,black,0.110484025,0.03326828,0.065205828,0.045278197,0.175689854,state,0
AL,uninsured,wk2_3,hispanic,0.371296936,0.227924822,0.446732651,-0.075435716,0.818029587,state,0
AL,uninsured,wk2_3,other,0.058237201,0.039516417,0.077452177,-0.019214976,0.135689378,state,1
AL,uninsured,wk2_3,white,0.160085255,0.023701525,0.046454989,0.113630266,0.206540244,state,0
AR,uninsured,wk2_3,asian,0.125800381,0.124087637,0.243211768,-0.117411387,0.36901215,state,0
AR,uninsured,wk2_3,black,0.157485086,0.052621045,0.103137249,0.054347837,0.260622335,state,0
AR,uninsured,wk2_3,hispanic,0.126489214,0.060045085,0.117688366,0.008800849,0.24417758,state,0
AR,uninsured,wk2_3,other,0.040256399,0.042146693,0.082607517,-0.042351119,0.122863916,state,0
AR,uninsured,wk2_3,white,0.101130791,0.024265125,0.047559645,0.053571146,0.148690437,state,0
AZ,uninsured,wk2_3,asian,0.066935557,0.043007833,0.084295352,-0.017359795,0.15123091,state,0
AZ,uninsured,wk2_3,black,0.171472943,0.079355858,0.155537481,0.015935461,0.327010424,state,0
