geography,metric,week_num,race_var,mean,se,moe_95,moe_95_lb,moe_95_ub,geo_type
CT,uninsured,wk3_4,other,0.09407863423911794,0.06183022584950239,0.12118724266502467,-0.027108608425906733,0.21526587690414262,state
CT,uninsured,wk3_4,white,0.01966422367740143,0.004310114653894733,0.008447824721633676,0.011216398955767756,0.028112048399035108,state
DC,uninsured,wk3_4,asian,0.0478900884979419,0.03009832560678246,0.05899271818929362,-0.011102629691351722,0.10688280668723552,state
DC,uninsured,wk3_4,black,0.0817752537788912,0.025755125386335575,0.05048004575721773,0.03129520802167347,0.13225529953610893,state
DC,uninsured,wk3_4,hispanic,0.06935241046477827,0.03508196793204462,0.06876065714680746,5.917533179708168e-4,0.13811306761158573,state
DC,uninsured,wk3_4,other,0.016159950079427728,0.015354319031132975,0.03009446530102063,-0.013934515221592902,0.04625441538044836,state
DC,uninsured,wk3_4,white,0.026505270303771304,0.010930577238156427,0.021423931386786596,0.005081338916984708,0.0479292016905579,state
DE,uninsured,wk3_4,asian,0.08294800036955642,0.05334001142775985,0.1045464223984093,-0.021598422028852884,0.18749442276796574,state
DE,uninsured,wk3_4,black,0.06005067261577031,0.01762234527598641,0.03453979674093336,0.025510875874836948,0.09459046935670368,state
DE,uninsured,wk3_4,hispanic,0.12710581282587594,0.04401073253171241,0.08626103576215631,0.040844777063719626,0.21336684858803223,state
DE,uninsured,wk3_4,other,0.09085931615123793,0.04454360830742087,0.08730547228254491,0.0035538438686930213,0.17816478843378286,state
DE,uninsured,wk3_4,white,0.08727004036545039,0.02210643542854979,0.043328613439957586,0.0439414269254928,0.13059865380540797,state
FL,uninsured,wk3_4,asian,0.16942002367255143,0.05586294784334369,0.10949137777295363,0.0599286458995978,0.2789114014455051,state
FL,uninsured,wk3_4,black,0.18075068007144884,0.04373011395164362,0.08571102334522149,0.09503965672622736,0.2664617034166703,state
FL,uninsured,wk3_4,hispanic,0.14806011280120793,0.021125549671730515,0.04140607735659181,0.10665403544461612,0.18946619015779975,state
FL,uninsured,wk3_4,other,0.16968054592698606,0.04018402923018847,0.0787606972911694,0.09091984863581666,0.24844124321815547,state
FL,uninsured,wk3_4,white,0.077110562420856,0.00722248835763713,0.014156077180968774,0.06295448523988723,0.09126663960182477,state
GA,uninsured,wk3_4,asian,0.3536716763843798,0.059458458434629165,0.11653857853187316,0.23713309785250664,0.47021025491625296,state
GA,uninsured,wk3_4,black,0.1495511429595413,0.02388983747140348,0.04682408144395082,0.1027270615155905,0.19637522440349212,state
GA,uninsured,wk3_4,hispanic,0.18075298288190325,0.038248308302747995,0.07496668427338607,0.10578629860851718,0.2557196671552893,state
GA,uninsured,wk3_4,other,0.12231105321841869,0.05241461614786982,0.10273264764982484,0.019578405568593846,0.22504370086824355,state
GA,uninsured,wk3_4,white,0.10073925896616907,0.013625323615327476,0.026705634286041852,0.07403362468012722,0.12744489325221092,state
HI,uninsured,wk3_4,asian,0.04683237443466261,0.011031893475077853,0.021622511211152592,0.025209863223510015,0.0684548856458152,state
HI,uninsured,wk3_4,black,0,0,0,0,0,state
HI,uninsured,wk3_4,hispanic,0.129204864198046,0.0374900551954161,0.07348050818301556,0.05572435601503044,0.20268537238106155,state
HI,uninsured,wk3_4,other,0.030379956482382658,0.010804278026829664,0.02117638493258614,0.009203571549796518,0.0515563414149688,state
HI,uninsured,wk3_4,white,0.04971329144127306,0.01650502042184882,0.03234984002682369,0.017363451414449373,0.08206313146809674,state
IA,uninsured,wk3_4,asian,0.0215323885438686,0.024043907437846585,0.04712605857817931,-0.02559367003431071,0.06865844712204791,state
